gpssec acc_x(m/s^2) acc_y(m/s^2) acc_z(m/s^2) gyro_x(rad/s) gyro_y(rad/s)  gyro_z(rad/s)
72477.567184 -0.496460 0.125610 -10.078735 -0.000671 -0.002684 -0.000671
72477.579683 -0.475525 0.146545 -10.036865 -0.002349 0.001007 -0.001678
72477.586109 -0.445618 0.149536 -10.021912 -0.002349 -0.000503 -0.001678
72477.596092 -0.454590 0.131592 -10.030884 -0.004698 -0.002013 -0.001342
72477.605826 -0.475525 0.119629 -10.048828 -0.004027 0.000671 -0.001510
72477.616106 -0.508423 0.152527 -10.063782 -0.003356 0.003020 -0.001678
72477.625837 -0.517395 0.137573 -10.027893 -0.005704 0.002013 -0.006376
72477.636090 -0.499451 0.101685 -10.006958 -0.004362 -0.000671 -0.001342
72477.645824 -0.478516 0.155518 -10.051819 -0.002013 -0.001678 0.001342
72477.656078 -0.475525 0.188416 -10.060791 -0.002684 -0.000336 -0.001510
72477.667188 -0.478516 0.155518 -10.039856 -0.004698 0.001007 -0.004362
72477.679660 -0.505432 0.140564 -10.036865 -0.004362 -0.001007 -0.001678
72477.686089 -0.526367 0.146545 -10.036865 -0.004698 0.000336 -0.002181
72477.696100 -0.499451 0.185425 -10.060791 -0.004027 -0.000671 -0.002684
72477.705832 -0.469543 0.212341 -10.066772 -0.000671 0.002349 -0.005704
72477.716086 -0.475525 0.155518 -10.036865 -0.003691 0.000336 -0.002013
72477.725818 -0.496460 0.113647 -10.048828 -0.005369 -0.000671 -0.001007
72477.736072 -0.511414 0.146545 -10.075745 -0.003356 0.001007 -0.000336
72477.745805 -0.502441 0.167480 -10.054810 -0.002349 0.002349 0.000336
72477.756083 -0.466553 0.176453 -10.024902 -0.003020 0.002349 -0.001342
72477.767168 -0.460571 0.173462 -10.027893 -0.003356 -0.000336 -0.002013
72477.779639 -0.469543 0.137573 -10.054810 -0.002684 -0.002684 -0.002684
72477.786070 -0.493469 0.155518 -10.078735 -0.002684 -0.000671 -0.002013
72477.796081 -0.493469 0.173462 -10.039856 -0.005033 0.002349 -0.001342
72477.000000 -1.716600 2.375098 -13.219997 -0.005033 0.112137 -0.028789
72477.805813 -0.478516 0.146545 -10.000977 -0.005033 0.001007 -0.001007
72477.816066 -0.454590 0.161499 -10.060791 -0.002013 0.000336 -0.001007
72477.825800 -0.439636 0.188416 -10.087708 -0.004362 0.002013 -0.002013
72477.836079 -0.442627 0.161499 -10.039856 -0.005369 0.000336 -0.002349
72477.845812 -0.463562 0.149536 -10.033875 -0.004362 -0.001342 -0.003020
72477.856065 -0.487488 0.152527 -10.054810 -0.003691 -0.001007 -0.002684
72477.867151 -0.484497 0.188416 -10.057800 -0.001678 -0.000671 -0.002349
72477.879648 -0.457581 0.218323 -10.027893 -0.002684 0.001007 -0.001678
72477.886077 -0.451599 0.179443 -10.018921 -0.003020 0.002013 -0.000336
72477.896064 -0.481506 0.140564 -10.054810 -0.004027 0.003356 -0.002013
72477.905794 -0.517395 0.149536 -10.078735 -0.003691 0.000336 -0.001510
72477.916047 -0.499451 0.149536 -10.030884 -0.003020 0.001678 -0.001007
72477.925780 -0.460571 0.149536 -10.015930 -0.002349 0.000336 -0.003020
72477.936060 -0.460571 0.179443 -10.045837 -0.004362 -0.001007 -0.001342
72477.945792 -0.496460 0.155518 -10.042847 -0.003020 -0.002013 -0.001342
72477.956044 -0.517395 0.155518 -10.039856 -0.002684 -0.001342 -0.000336
72477.967130 -0.520386 0.173462 -10.039856 -0.004698 0.000671 -0.003020
72477.979631 -0.520386 0.140564 -10.024902 -0.002013 0.002013 -0.002013
72477.986058 -0.502441 0.149536 -10.039856 -0.000336 -0.001678 -0.002349
72477.996042 -0.481506 0.185425 -10.045837 -0.003356 -0.001342 -0.002684
72478.000000 -0.485155 0.169615 -10.038541 -0.003628 0.000022 -0.002412
